Region;Dep;Commune;Porteur_projet;Projet;n°SES;Montant_op;Montant_acc;Objectifs
PACA;4;Seyne-les-Alpes;Communauté de Communes du Pays de Seyne;Construction du gymnase du Pays de Seyne;13554;2 520 000 €;400 000 €;Territoires carencés
PACA;5;Embrun;Communauté de Communes de l’Embrunais;Réhabilitation du centre aquatique communautaire de l’Embrunais;13713;6 736 000 €;700 000 €;Territoires carencés
PACA;6;Saint-Martin-Vésubie;Syndicat Mixte pour le Développement de la  Vésubie et du Valdeblore;Construction d'un pôle de sports de montagne;13377;26 065 649 €;500 000 €;Territoires carencés
PACA;6;Carros;Commune de Carros;Rénovation de la structure artificielle d'escalade et du sol sportif du gymnase Le Planet;13745;108 464 €;21 000 €;Territoires carencés
PACA;84;Avignon;Commune d'Avignon;Rénovation de la salle Roland Montet;13791;380 000 €;67 000 €;Territoires carencés
Pays de la Loire;44;Châteaubriant;Commune de Châteaubriant*;Création d'un dojo;13224;2 165 425 €;400 000 €;Territoires carencés
Pays de la Loire;44;Saint-Nazaire;Communauté d'Agglomération de la Région Nazairienne et de l'Estuaire (CARENE);Création d'un centre aquatique;13455;22 968 523 €;800 000 €;Territoires carencés
Pays de la Loire;72;Le Mans;Commune du Mans;Rénovation du centre aquatique Les Atlantides;13471;1 000 000 €;200 000 €;Territoires carencés
Pays de la Loire;85;Luçon;Communauté de Communes du Pays né de la Mer;Construction d'un espace aquatique;13642;8 216 333 €;700 000 €;Territoires carencés
Picardie;60;Compiègne;Commune de Compiègne;Mise aux normes et réhabilitation de la patinoire ;13478;1 385 169 €;270 000 €;Territoires carencés
Picardie;60;Creil;Commune de Creil;Création et rénovation de terrains de tennis;13760;3 307 500 €;300 000 €;Territoires carencés
Poitou-Charentes;86;Loudun;Communauté de Communes du Pays Loudunais;Construction d'un centre aquatique;13819;8 500 000 €;700 000 €;Territoires carencés
Rhône-Alpes;38;Eybens;Comité Départemental Olympique et Sportif de l'Isère;Acquisition d'une structure d'escalade mobile;13768;181 814 €;36 000 €;Territoires carencés
Rhône-Alpes;69;Pierre-Bénite ;Commune de Pierre-Bénite;Extension du dojo municipal;13366;543 500 €;97 000 €;Territoires carencés
Rhône-Alpes;69;Lyon;Club de Canoë Kayak Lyon Oullins La Mulatière (CKLOM);Création d'une base nautique;13772;1 173 201 €;200 000 €;Territoires carencés
Rhône-Alpes;69;Villeurbanne;Commune de Villeurbanne;Restructuration du complexe sportif Saint-Jean et création d’un fronton de pelote basque;13773;242 500 €;48 000 €;Territoires carencés
Rhône-Alpes;73;Les Échelles ;Syndicat Intercommunal des Sports;Création de la piscine naturelle et sportive de la Vallée de Chartreuse;13532;1 561 018 €;150 000 €;Territoires carencés
Saint Pierre et Miquelon;975;Saint-Pierre;Association Sportive Ilienne Amateurs;Aménagement du stade John Girardin ;13870;357 126 €;165 000 €;Territoires carencés
Wallis et Futuna;986;UVEA;Commune de UVEA;Travaux de réhabilitation de la Halle KAFIKA ;13897;220 000 €;220 000 €;Territoires carencés
CENTRE;36;Déols;Fédération Française de Tir;Création du Centre National de Tir Sportif à Châteauroux-Déols;13705;25 824 640 €;3 000 000 €;Equipements d’intérêt national
ILE-DE-FRANCE;94;Créteil;Fédération Française de Handball;Construction de la Maison Nationale du Handball;13527;41 020 697 €;6 000 000 €;Equipements d’intérêt national
ILE-DE-FRANCE;94;Nogent-sur-Marne;Fédération Française d'Aviron;Achat de bateaux d'aviron de compétition et d'avirons;13707;384 392 €;115 000 €;Equipements d’intérêt national
ILE-DE-FRANCE;94;Saint-Maur-des-Fossés;Fédération Française de Squash;Achat de courts vitrés démontables de squash;13674;344 252 €;100 000 €;Equipements d’intérêt national
LA REUNION;974;Saint-Paul;Commune de Saint-Paul;"Filets de protection ""risque requin""";13898;3 986 166 €;285 000 €;Equipements d’intérêt national
MIDI-PYRENNES;31;Tournefeuille;Commune de Tournefeuille;Création d'une structure d'escalade de niveau international - gymnase de Quéfets à Tournefeuille;13712;1 620 100 €;240 000 €;Equipements d’intérêt national
RHONE-ALPES;73;Albertville;Commune d'Albertville;Acquisition de matériel lourd pour le Centre National de Ski de Haut Niveau (C.N.S.H.N);13725;892 110 €;260 000 €;Equipements d’intérêt national
AUVERGNE;43;Le Puy-en-Velay;Commune du Puy-en-Velay;Création de sanitaires accessibles aux personnes à mobilité réduite au centre équestre de Guitard;13752;26 106 €;13 000 €;Mise en accessibilité
AUVERGNE;63;Clermont-Ferrand;Association Sportive Montferrandaise;Acquisition d'un minibus aménagé pour personnes à mobilité réduite;13799;56 069 €;15 000 €;Acquisition de véhicules adaptés
AUVERGNE;63;Tallende;SIVOM de Saint-Amant-Tallende-Saint-Saturnin;Travaux de mise en accessibilité du stade de football;13845;55 000 €;3 900 €;Mise en accessibilité
