Region;Dep;Commune;Porteur_projet;annee_sub;Projet;n°SES;Montant_op;Montant_acc;Objectifs
RHONE-ALPES;69;Irigny;Commune d'Irigny;2015;Mise en accessibilité du stade de football;13862;1686522;75000;Mise en accessibilité
RHONE-ALPES;73;Chambéry;Comité Départemental Sport Adapté Savoie;2015;Acquisition d'un véhicule pour le sport adapté;13588;34377;6800;Acquisition de véhicules adaptés
RHONE-ALPES;73;Chambéry;Comité Départemental Handisport Savoie;2015;Acquisition d'un minibus équipé pour les personnes à mobilité réduite;13647;26936;13000;Acquisition de véhicules adaptés
WALLIS-ET-FUTUNA;986;Uvéa;Association Vakala;2015;Acquisition de matériel destiné aux personnes à mobilité réduite;13876;9153;9000;Acquisition de matériels adaptés
PACA;6;Vallauris ;Commune de Vallauris-Golfe-Juan;2015;Réfection d'un terrain de football synthétique du stade municipal suite aux intempéries du 3 au 4 octobre 2015;13917;0;220000;Rénovation des équipements sinistrés
PACA;6;Le Cannet;Commune du Cannet;2015;Remise en état du gymnase Maillan suite aux intempéries du 3 au 4 octobre 2015;13919;0;30000;Rénovation des équipements sinistrés
PACA;6;Mandelieu-La Napoule;Commune de Mandelieu-La Napoule;2015;Reconstruction  du Tennis-Club de l'Argentière détruit suite aux intempéries du 3 au 4 octobre 2015;13918;0;16000;Rénovation des équipements sinistrés
CORSE;2A;Pietrosella;Commune de Pietrosella;2015;création d'une halle des sports;13812;4900000;792439;Politique contractuelle
BRETAGNE;35;Dinard;Campus de lExcellence sportive de Bretagne (GIP);2015;Rénovation et mise aux normes d'accessibilité et sécurité du batiment Michelet;13875;931386;180000;Politique contractuelle
NOUVELLE CALEDONIE;988;NOUMEA;Commune de Nouméa;2015;Pôle sportif du quartier de Montravel - Plateau multisports de proximité (phase 1);13878;264022;97688;Politique contractuelle
PAYS DE LA LOIRE;85;La Faute-sur-Mer;Commune de la Faute sur Mer;2015;Construction d'un terrain de golf 9 trous;13641;1555000;310000;Politique contractuelle
NORD-PAS-DE-CALAIS;59;Villeneuve-d'Ascq;Métropole Européenne de Lille;2015;Rénovation lourde du complexe annexe du Stadium de Villeneuve d'Ascq;13756;3000000;600000;Politique contractuelle
